alias,display_phone,distance,id,image_url,is_closed,name,phone,price,rating,review_count,transactions,url,address1,address2,address3,city,country,display_address,state,zip_code,latitude,longitude,categories_num,category_1_alias,category_1_title,category_2_alias,category_2_title,category_3_alias,category_3_title
tavernetta-denver,(720) 605-1889,160.6301870004529,Y-c9rFdGYXlT-A1ndoCTrg,https://s3-media3.fl.yelpcdn.com/bphoto/Diu85cc51XywZ_cAFv0L3w/o.jpg,False,Tavernetta,+17206051889,$$$,4.5,307,[],https://www.yelp.com/biz/tavernetta-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1889 16th St,,,Denver,US,"['1889 16th St', 'Denver, CO 80202']",CO,80202,39.7531726,-105.002327,1,italian,Italian,,,,
root-down-denver,(303) 993-4200,1249.871298083836,LX8nS1dlW7MEZDDEmVcyGw,https://s3-media3.fl.yelpcdn.com/bphoto/EtHR5JwQwZKs3b79GOOPuQ/o.jpg,False,Root Down,+13039934200,$$,4.5,3267,[],https://www.yelp.com/biz/root-down-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1600 W 33rd Ave,,,Denver,US,"['1600 W 33rd Ave', 'Denver, CO 80211']",CO,80211,39.76306,-105.0056,3,newamerican,American (New),vegan,Vegan,vegetarian,Vegetarian
stoic-and-genuine-denver-4,(303) 640-3474,54.315356814004126,YF-gq920WMtLYs0kHGEpAw,https://s3-media2.fl.yelpcdn.com/bphoto/6rC4k-KYvoeMipk12VVHeg/o.jpg,False,Stoic & Genuine,+13036403474,$$,4.0,536,"['pickup', 'delivery']",https://www.yelp.com/biz/stoic-and-genuine-denver-4?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1701 Wynkoop,Ste 105,,Denver,US,"['1701 Wynkoop', 'Ste 105', 'Denver, CO 80202']",CO,80202,39.7529246611917,-105.000501016723,1,seafood,Seafood,,,,
cholon-modern-asian-downtown-denver,(303) 353-5223,237.8816247355674,9UYPzrky0DmOHFW-BkItIg,https://s3-media1.fl.yelpcdn.com/bphoto/VNTLhpqtQ9Wbp5mSXC3GWQ/o.jpg,False,ChoLon Modern Asian - Downtown,+13033535223,$$$,4.0,1044,"['pickup', 'delivery']",https://www.yelp.com/biz/cholon-modern-asian-downtown-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1555 Blake St,Ste 101,,Denver,US,"['1555 Blake St', 'Ste 101', 'Denver, CO 80202']",CO,80202,39.7505306,-104.9996993,3,asianfusion,Asian Fusion,noodles,Noodles,soup,Soup
deep-roots-winery-and-bistro-denver,(720) 328-4786,259.14228514133976,UV6iMQRTY5WwBUtuRTbRsQ,https://s3-media4.fl.yelpcdn.com/bphoto/rCDjdMvH6qQs34i_5_4TNg/o.jpg,False,Deep Roots Winery and Bistro,+17203284786,$$,4.5,98,['restaurant_reservation'],https://www.yelp.com/biz/deep-roots-winery-and-bistro-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1516 Wazee,Ste A,,Denver,US,"['1516 Wazee', 'Ste A', 'Denver, CO 80202']",CO,80202,39.75039,-105.0006,3,wine_bars,Wine Bars,wineries,Wineries,tapasmallplates,Tapas/Small Plates
jax-fish-house-lodo-denver,(303) 292-5767,137.5549322954081,lqNe_QMrAyZLnEr06F9S_w,https://s3-media2.fl.yelpcdn.com/bphoto/hMx-pEFzspAQUDsFjzB2fg/o.jpg,False,Jax Fish House LoDo,+13032925767,$$,4.5,873,"['pickup', 'delivery']",https://www.yelp.com/biz/jax-fish-house-lodo-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1539 17th St,,,Denver,US,"['1539 17th St', 'Denver, CO 80202']",CO,80202,39.7521259302617,-104.998515626984,1,seafood,Seafood,,,,
daughter-thai-kitchen-and-bar-denver,(720) 667-4652,837.5735136780089,HBBs_ruVCXXaNc-8ZxyezQ,https://s3-media4.fl.yelpcdn.com/bphoto/uf9X-w4eh0x3CH4lxHCEkA/o.jpg,False,Daughter Thai Kitchen & Bar,+17206674652,,4.5,37,[],https://www.yelp.com/biz/daughter-thai-kitchen-and-bar-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1700 Platte St,Ste 140,,Denver,US,"['1700 Platte St', 'Ste 140', 'Denver, CO 80202']",CO,80202,39.75848,-105.00645,2,thai,Thai,bars,Bars,,
the-rotary-denver,(303) 900-7759,1190.8387133327474,CohjGGw2ZVkXt1kTsXS0_w,https://s3-media3.fl.yelpcdn.com/bphoto/ksR-NQ25MP5EbsLnyDywXQ/o.jpg,False,The Rotary,+13039007759,,5.0,67,[],https://www.yelp.com/biz/the-rotary-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,3200 N Pecos St,,,Denver,US,"['3200 N Pecos St', 'Denver, CO 80211']",CO,80211,39.76214,-105.00633,1,newamerican,American (New),,,,
pony-up-denver,(720) 710-8144,329.21597825597377,YxeTWblmRB3m7egJzgAJCg,https://s3-media2.fl.yelpcdn.com/bphoto/0h7Yy8muwjICx3mp4onDRg/o.jpg,False,Pony Up,+17207108144,$$,4.5,180,"['pickup', 'delivery']",https://www.yelp.com/biz/pony-up-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1808 Blake St,,,Denver,US,"['1808 Blake St', 'Denver, CO 80202']",CO,80202,39.75242,-104.99625,2,sandwiches,Sandwiches,cocktailbars,Cocktail Bars,,
bubu-denver,(303) 996-2685,555.7523883452384,qWblr0XtWSddEt2ZeTzEBg,https://s3-media1.fl.yelpcdn.com/bphoto/cSV8BGm2hJ62favUaQpuRg/o.jpg,False,Bubu,+13039962685,$$,4.5,150,"['pickup', 'delivery']",https://www.yelp.com/biz/bubu-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1423 Larimer St,,,Denver,US,"['1423 Larimer St', 'Denver, CO 80202']",CO,80202,39.7476804,-104.9994096,1,asianfusion,Asian Fusion,,,,
the-greedy-hamster-denver-2,(303) 623-2818,1468.6795441951897,IFI6Fbp4JMn_ijznHBNAiA,https://s3-media4.fl.yelpcdn.com/bphoto/wgK9n0W4KMTAnthu5C5t8g/o.jpg,False,The Greedy Hamster,+13036232818,$$,4.0,290,"['pickup', 'delivery']",https://www.yelp.com/biz/the-greedy-hamster-denver-2?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,323 14th St,,,Denver,US,"['323 14th St', 'Denver, CO 80202']",CO,80202,39.7412757873535,-104.991516113281,3,wine_bars,Wine Bars,gastropubs,Gastropubs,cocktailbars,Cocktail Bars
blue-agave-grill-denver,(720) 550-8389,470.2090202938184,wL04ets5vd2CGxbzj3ii5w,https://s3-media1.fl.yelpcdn.com/bphoto/NyWTqHGJ_y_I2GSfQUZ0mg/o.jpg,False,Blue Agave Grill,+17205508389,$$,4.0,462,['delivery'],https://www.yelp.com/biz/blue-agave-grill-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1201 16th St,Ste 104,,Denver,US,"['1201 16th St', 'Ste 104', 'Denver, CO 80202']",CO,80202,39.74874,-104.99659,3,seafood,Seafood,mexican,Mexican,asianfusion,Asian Fusion
hopdoddy-burger-bar-denver,(303) 446-2337,134.8403517233147,mzOAkvH-4WIfQuR3uCs87g,https://s3-media1.fl.yelpcdn.com/bphoto/CdADjEj_McY9D9Mpk6Jvgg/o.jpg,False,Hopdoddy Burger Bar,+13034462337,$$,4.0,856,"['pickup', 'delivery']",https://www.yelp.com/biz/hopdoddy-burger-bar-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1747 Wynkoop St,,,Denver,US,"['1747 Wynkoop St', 'Denver, CO 80202']",CO,80202,39.7536890899343,-104.999132618973,3,burgers,Burgers,tradamerican,American (Traditional),beerbar,Beer Bar
the-pig-and-the-sprout-denver,(720) 535-9719,452.6451739730808,9vocEDSzUbT8pu7rm5kYuA,https://s3-media4.fl.yelpcdn.com/bphoto/1Ez1nQZ9BKw0hwozCHVwKg/o.jpg,False,The Pig & The Sprout,+17205359719,$$,4.0,415,[],https://www.yelp.com/biz/the-pig-and-the-sprout-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1900 Chestnut Pl,,,Denver,US,"['1900 Chestnut Pl', 'Denver, CO 80202']",CO,80202,39.75669,-104.99965,3,newamerican,American (New),breakfast_brunch,Breakfast & Brunch,cocktailbars,Cocktail Bars
cho77-denver-5,(720) 638-8179,199.08258863611124,M243nVzjxoCeZhJnIxofVA,https://s3-media1.fl.yelpcdn.com/bphoto/KJn_77N1wRQJXRarEZ_0BQ/o.jpg,False,Cho77,+17206388179,$$,4.0,281,[],https://www.yelp.com/biz/cho77-denver-5?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1520 16th St,Ste 102,,Denver,US,"['1520 16th St', 'Ste 102', 'Denver, CO 80202']",CO,80202,39.7508909,-104.9996089,3,vietnamese,Vietnamese,asianfusion,Asian Fusion,dimsum,Dim Sum
thirsty-lion-gastropub-and-grill-denver-4,(303) 623-0316,89.1156098224606,j9QooIUl_s_1w7eZntoVCg,https://s3-media2.fl.yelpcdn.com/bphoto/CmnobNYqvdH7p1Dqr8EOnA/o.jpg,False,Thirsty Lion Gastropub & Grill,+13036230316,$$,3.5,636,"['pickup', 'delivery']",https://www.yelp.com/biz/thirsty-lion-gastropub-and-grill-denver-4?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1605 Wynkoop St,,,Denver,US,"['1605 Wynkoop St', 'Denver, CO 80202']",CO,80202,39.7522980108067,-105.000897039881,3,gastropubs,Gastropubs,pubs,Pubs,tradamerican,American (Traditional)
jovaninas-broken-italian-denver,(720) 541-7721,313.1866310495085,Y8Np2emyG1l8yyg3jWovAQ,https://s3-media3.fl.yelpcdn.com/bphoto/lIcrxrKfgnuGjD0p7PgS7Q/o.jpg,False,Jovanina's Broken Italian,+17205417721,,4.5,112,[],https://www.yelp.com/biz/jovaninas-broken-italian-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1520 Blake St,,,Denver,US,"['1520 Blake St', 'Denver, CO 80202']",CO,80202,39.7498466483866,-104.99979224056,1,italian,Italian,,,,
urban-farmer-denver-denver,(303) 262-6070,92.34043458617768,fdeVBWzB4jZV7QupbQSXUg,https://s3-media1.fl.yelpcdn.com/bphoto/WYSejWENjOPSn10RIttdkw/o.jpg,False,Urban Farmer Denver,+13032626070,$$$,4.0,313,"['pickup', 'delivery']",https://www.yelp.com/biz/urban-farmer-denver-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1659 Wazee St,,,Denver,US,"['1659 Wazee St', 'Denver, CO 80202']",CO,80202,39.75208,-104.99929,2,steak,Steakhouses,tradamerican,American (Traditional),,
the-kitchen-denver-denver-5,(303) 623-3127,195.53708498934392,4DJ7cHy5b0WuKC4CbCq98A,https://s3-media4.fl.yelpcdn.com/bphoto/A8bPNBd0QfWXJz2ZUx71zw/o.jpg,False,The Kitchen American Bistro,+13036233127,$$$,4.0,697,[],https://www.yelp.com/biz/the-kitchen-denver-denver-5?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1560 Wazee St,,,Denver,US,"['1560 Wazee St', 'Denver, CO 80202']",CO,80202,39.75083,-105.00009,1,newamerican,American (New),,,,
zoe-ma-ma-denver-2,(303) 545-6262,84.49251531710843,AMU4bsCTc6HAa0GAbC4M6Q,https://s3-media3.fl.yelpcdn.com/bphoto/p76CZz3-9uDTc9MItkqmqA/o.jpg,False,Zoe Ma Ma,+13035456262,$$,3.5,477,['delivery'],https://www.yelp.com/biz/zoe-ma-ma-denver-2?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1625 Wynkoop St,,,Denver,US,"['1625 Wynkoop St', 'Denver, CO 80202']",CO,80202,39.752168,-105.0007202,2,dimsum,Dim Sum,asianfusion,Asian Fusion,,
citizen-rail-denver,(303) 323-0017,195.01573754321277,u5HvR26VlVlakU3WIB3PVA,https://s3-media1.fl.yelpcdn.com/bphoto/Iii_7DOYn7LH6v0StyPw3w/o.jpg,False,Citizen Rail,+13033230017,$$,4.0,272,[],https://www.yelp.com/biz/citizen-rail-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1899 16th St,,,Denver,US,"['1899 16th St', 'Denver, CO 80202']",CO,80202,39.75321,-105.00221,2,newamerican,American (New),breakfast_brunch,Breakfast & Brunch,,
tupelo-honey-denver-2,(720) 274-0650,169.34432856149294,d1QB8rraQcNd3QykwaaWLg,https://s3-media1.fl.yelpcdn.com/bphoto/YQSar4cy0koWdV0NEBmAeg/o.jpg,False,Tupelo Honey,+17202740650,$$,4.0,829,"['pickup', 'delivery']",https://www.yelp.com/biz/tupelo-honey-denver-2?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1650 Wewatta St,,,Denver,US,"['1650 Wewatta St', 'Denver, CO 80202']",CO,80202,39.7534732,-105.0020274,3,southern,Southern,newamerican,American (New),breakfast_brunch,Breakfast & Brunch
menya-noodle-bar-denver-4,(303) 607-8888,802.6909386033182,US3Sa3FhlASsY8kmZ4Wv0w,https://s3-media2.fl.yelpcdn.com/bphoto/_D-LgV_S5eKPvpwm-uWVaA/o.jpg,False,Menya Noodle Bar,+13036078888,$$,4.0,544,"['pickup', 'delivery']",https://www.yelp.com/biz/menya-noodle-bar-denver-4?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,951 16th St,,,Denver,US,"['951 16th St', 'Denver, CO 80202']",CO,80202,39.74716,-104.99429,1,noodles,Noodles,,,,
butchers-bistro-denver,(303) 296-2750,927.4905223911716,XBJYkhpPPQFhIJvp2gjmbQ,https://s3-media4.fl.yelpcdn.com/bphoto/NYAL27bbChQxrSm9MhsCLw/o.jpg,False,Butcher's Bistro,+13032962750,$$,4.5,451,[],https://www.yelp.com/biz/butchers-bistro-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,2233 Larimer St,,,Denver,US,"['2233 Larimer St', 'Denver, CO 80205']",CO,80205,39.7554817,-104.9898071,3,butcher,Butcher,newamerican,American (New),steak,Steakhouses
linger-denver-2,(303) 993-3120,1238.8763171322832,Z8vO_mf1V09QDUPdyqJ6og,https://s3-media2.fl.yelpcdn.com/bphoto/pgC08Lk4Lyk-7Mn5SnwNlA/o.jpg,False,Linger,+13039933120,$$,4.0,3254,"['pickup', 'delivery']",https://www.yelp.com/biz/linger-denver-2?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,2030 W 30th Ave,,,Denver,US,"['2030 W 30th Ave', 'Denver, CO 80211']",CO,80211,39.75954,-105.01139,3,asianfusion,Asian Fusion,breakfast_brunch,Breakfast & Brunch,bars,Bars
rose-and-thorn-denver,(303) 367-3533,263.4323383086959,lxBBOWfRVCAoXGmJ-i0GtA,https://s3-media1.fl.yelpcdn.com/bphoto/Np6Bkd0ooX9kzBYKeroboQ/o.jpg,False,Rose & Thorn,+13033673533,$$,4.0,66,"['pickup', 'delivery']",https://www.yelp.com/biz/rose-and-thorn-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1433 17th St,Unit 150,,Denver,US,"['1433 17th St', 'Unit 150', 'Denver, CO 80202']",CO,80202,39.75129,-104.997453,3,cocktailbars,Cocktail Bars,cuban,Cuban,latin,Latin American
sams-no-3-downtown-denver,(303) 534-1927,810.934012740658,3ncWfQJg_RbTqnkPmksoAA,https://s3-media2.fl.yelpcdn.com/bphoto/hAI7zjm1sSEqTahwU-47xg/o.jpg,False,Sam's No. 3 Downtown,+13035341927,$$,4.0,1988,['delivery'],https://www.yelp.com/biz/sams-no-3-downtown-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1500 Curtis St,,,Denver,US,"['1500 Curtis St', 'Denver, CO 80202']",CO,80202,39.7462,-104.99559,3,diners,Diners,mexican,Mexican,tradamerican,American (Traditional)
public-school-303-denver,(303) 446-8671,280.42685417118844,QO8A6iWd67XIohxo_aheIg,https://s3-media1.fl.yelpcdn.com/bphoto/4hkoE3VwNv7fobGtLrYesA/o.jpg,False,Public School 303,+13034468671,$$,3.5,308,"['pickup', 'delivery']",https://www.yelp.com/biz/public-school-303-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1959 16th St,,,Denver,US,"['1959 16th St', 'Denver, CO 80202']",CO,80202,39.7537265,-105.0029759,3,bars,Bars,gastropubs,Gastropubs,newamerican,American (New)
guard-and-grace-denver,(303) 293-8500,1041.0367376508082,EjNI-dNAMrYxKgUIkqeqhg,https://s3-media2.fl.yelpcdn.com/bphoto/UNuFWyjh6evY85FeMPPoQQ/o.jpg,False,Guard and Grace,+13032938500,$$$,4.5,1019,[],https://www.yelp.com/biz/guard-and-grace-denver?adjust_creative=DvfyQaCaFk8lQg51VhOAfw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=DvfyQaCaFk8lQg51VhOAfw,1801 California St,,,Denver,US,"['1801 California St', 'Denver, CO 80202']",CO,80202,39.7476811908831,-104.989654496312,3,steak,Steakhouses,wine_bars,Wine Bars,seafood,Seafood
